Kinase	Substrate	Score
AAK1	SOX2	1.79
ABL2	CAT	100
ABL2	CBL	46.65
ABL2	GPX1	100
ABL2	HLCS	1.67
ABL2	SIVA1	100
ACVR1	DNAJB2	1.57
ACVR1	E2F3	2.7
ACVR1	ETS1	2.75
ACVR1	FGR	1.57
ACVR1	GADD45A	2.7
ACVR1	MCM5	1.93
ACVR1	MDM2	12.84
ACVR1	NFATC4	12.61
ACVR1	ORC1L	1.93
ACVR1	OTUD7B	12.84
ACVR1	RIPK3	7.75
ACVR1	RNF14	12.84
ACVR1	RPS6KA2	12.84
ACVR1	RXRG	2.7
ACVR1	SMAD3	18.86
ACVR1	TRIM24	9.03
ACVR1	WWP1	1.57
ACVR1	ZBTB44	3.55
ACVR1B	MAPK1	12.84
ACVR1B	MAPK8	2.03
ACVR1B	MDM4	2.75
ACVR1B	SMAD4	1996.19
ACVR1B	UHMK1	12.84
ACVR2A	GNA12	2.06
ACVR2B	DDEFL1	2.42
ACVR2B	EGFR	349.87
ACVR2B	PRKCB1	4.02
ACVR2B	SRXN1	2.42
ACVR2B	TRIM26	2.38
ADRBK1	ADRB2	100
ADRBK1	BAD	15.54
ADRBK1	CTTN	15.83
ADRBK1	EIF4B	6.54
ADRBK1	EZR	100
ADRBK1	FPR1	100
ADRBK1	HRH1	100
ADRBK1	ID2	2.25
ADRBK1	MC4R	100
ADRBK1	OPRD1	100
ADRBK1	PDE6G	100
ADRBK1	PDGFRB	100
ADRBK1	PQBP1	2.47
ADRBK1	RPLP2	100
ADRBK1	SNCA	100
ADRBK1	SNF8	2.25
ADRBK1	TP53	19.64
ADRBK1	TUBB3	100
ADRBK1	ZNF396	1.6
AKT1	384D8-2	2.35
AKT1	ABI2	4.29
AKT1	AVEN	1.85
AKT1	BCL11A	2.62
AKT1	BMX	66.64
AKT1	BRD2	3.52
AKT1	BTBD12	2.35
AKT1	C19orf21	1.65
AKT1	C5orf16	2.35
AKT1	C7orf22	2.35
AKT1	CBL	202.75
AKT1	CCM2	4.29
AKT1	CD99L2	2.35
AKT1	CDK2AP1	2.67
AKT1	CDK9	2.68
AKT1	CENTB2	2.35
AKT1	CGI-48	2.35
AKT1	CHES1	2.35
AKT1	CHGB	22.21
AKT1	CSNK1G2	5.66
AKT1	CSRP3	2.62
AKT1	CTTN	66.64
AKT1	DAXX	53.57
AKT1	DNAJB2	22.21
AKT1	EG1	2.35
AKT1	ENC2	2.35
AKT1	ERAL1	3.04
AKT1	ETS1	3.47
AKT1	FGFR1OP	22.21
AKT1	FGR	22.21
AKT1	FIP1L1	3.47
AKT1	GADD45A	2.64
AKT1	GAS7	4.29
AKT1	GTF2B	2.68
AKT1	GTF2E1	2.68
AKT1	HCLS1	41.39
AKT1	HIRIP3	2.68
AKT1	HNRPK	22.21
AKT1	HRMT1L2	22.21
AKT1	Histone	Ab
AKT1	ID2	3.52
AKT1	IOH12327	2.35
AKT1	IOH14198	2.35
AKT1	IOH21637	2.35
AKT1	IOH42148	2.35
AKT1	IOH43720	2.35
AKT1	KIAA0663	2.35
AKT1	LOC93349	2.3
AKT1	LUC7L2	28.74
AKT1	MAPK8	21.81
AKT1	MDFI	2.67
AKT1	MDM4	293.67
AKT1	MEF2C	1.89
AKT1	MLX	3.52
AKT1	MTA1	41.39
AKT1	NCL	3.47
AKT1	NCOA4	3.47
AKT1	NEUROD1	29.12
AKT1	NFATC3	3.45
AKT1	NOC2L	3.47
AKT1	NRIP2	2.67
AKT1	NUP133	3.47
AKT1	OTUD7B	2.67
AKT1	PCBP2	54.59
AKT1	PCBP3	2.67
AKT1	PHLDA2	7.04
AKT1	PINX1	22.21
AKT1	PKCD	2.35
AKT1	PLEKHA4	3.02
AKT1	POP7	3.54
AKT1	PPP1R13L	2.67
AKT1	PRKACA	41.39
AKT1	PRKCD	53.57
AKT1	RAGE	4.29
AKT1	RPS20	28.74
AKT1	RUNX1T1	1.89
AKT1	RXRA	2.68
AKT1	SFRS1	3.45
AKT1	SFRS12	3.47
AKT1	SMAD3	31532.24
AKT1	SMPX	4.37
AKT1	SMYD2	3.47
AKT1	SNIP1	3.47
AKT1	SNRP70	2.68
AKT1	SOX9	2.64
AKT1	SPF45	2.35
AKT1	STAT6	54.59
AKT1	SYNJ2	15.62
AKT1	TCEAL6	2.35
AKT1	TEAD1	2.64
AKT1	THRA	2.68
AKT1	TRAT1	137.07
AKT1	TRIP10	306.66
AKT1	TSN	3.45
AKT1	WDR45L	3.09
AKT1	XPA	2.68
AKT1	ZHX1	2.64
AKT1	ZNF289	2.35
AKT1	ZRANB2	2.68
AKT1	ard	2.35
AKT3	FARS2	1.67
AKT3	GNA12	4.57
AKT3	PRKACA	15.18
ARAF	C21orf66	1.79
ARAF	CBL	18.86
ARAF	EGFR	18.86
ARAF	GMEB1	1.9
