uniprot_id,ptm_enzyme,site,ptm_type,score,source,evidence_level,has_curated_source,n_references,references,raw_sources
A0AV96,Q9UQM7,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A0JLT2,P17252,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A0JP07,Q8TDX7,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1A4E9,P00540,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1A4S6,Q6P5Z2,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1A580,Q9UQM7,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1A5D9,Q00537,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1JU68,P51812,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1JU68,Q15418,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1JU68,Q16512,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1KXE4,P24941,T57,Phosphorylation,3.0,MIMP;PhosphoSitePlus;ProtMapper,curated_source,True,0,,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper
A1KXE4,Q9UQM7,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1L170,P53350,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1L190,Q16512,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A1L4K1,Q07002,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2A3K4,P28482,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2AGH6,P37173,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2AM67,P11274,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2BDD9,P54646,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2RRN7,Q9UQB9,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2RU48,P45984,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2RUH7,Q8TDX7,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A2RUS2,O75385,S472;S490,Phosphorylation,1.0,PhosphoSitePlus;ProtMapper;Reactome_ProtMapper;SIGNOR,curated_literature,True,1,25925668,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR
A2RUS2,Q8IYT8,S472;S490,Phosphorylation,1.0,PhosphoSitePlus;ProtMapper;SIGNOR,curated_literature,True,1,25925668,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;SIGNOR
A4D2P6,Q15418,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A4U7F2,Q6P0Q8,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A5A3E0,O15264,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A5PKW4,P05129,S831,Phosphorylation,1.0,ProtMapper;Sparser_ProtMapper,literature_supported,False,1,26270583,ProtMapper;Sparser_ProtMapper
A6NC98,Q07002,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6ND36,P36894,S610;S614;S616,Phosphorylation,2.0,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR,curated_literature,True,1,24554596,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR
A6ND36,P48729,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6ND36,Q15139,S356,Phosphorylation,1.0,PhosphoSitePlus;SIGNOR,curated_literature,True,1,32570757,PhosphoSite;SIGNOR
A6NEM1,O00506,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NEM1,P00540,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NEM1,Q07002,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NEM1,Q16512,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NIM6,Q6P0Q8,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NJ78,Q9HC98,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NKD9,O00444,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
A6NKT7,P06493,S1276,Phosphorylation,3.0,MIMP;PhosphoSitePlus;ProtMapper,curated_source,True,0,,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper
A6NLX3,Q00526,S/T,Phosphorylation,1.0,UniProt_InteractsWith,curated_source,True,0,,UniProt_InteractsWith
