Entry,Gene Names,Protein names,Tissue specificity
P16118,PFKFB1 F6PK PFRX,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",TISSUE SPECIFICITY: Liver.
Q9H999,PANK3,Pantothenate kinase 3 (hPanK3) (EC 2.7.1.33) (Pantothenic acid kinase 3),TISSUE SPECIFICITY: Highly expressed in the liver. {ECO:0000269|PubMed:11479594}.
P48736,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)","TISSUE SPECIFICITY: Pancreas, skeletal muscle, liver and heart. {ECO:0000269|PubMed:7624799}."
Q13873,BMPR2 PPH1,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II),TISSUE SPECIFICITY: Highly expressed in heart and liver.
O14936,CASK LIN2,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),"TISSUE SPECIFICITY: Ubiquitous. Expression is significantly greater in brain relative to kidney, lung, and liver and in fetal brain and kidney relative to lung and liver. {ECO:0000269|PubMed:11003712}."
Q9NVF9,ETNK2 EKI2 HMFT1716,Ethanolamine kinase 2 (EKI 2) (EC 2.7.1.82) (Ethanolamine kinase-like protein),"TISSUE SPECIFICITY: Expressed in kidney, liver, ovary, testis and prostate. {ECO:0000269|PubMed:11044454}."
O00142,TK2,"Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)","TISSUE SPECIFICITY: Predominantly expressed in liver, pancreas, muscle, and brain. {ECO:0000269|PubMed:9079672}."
Q9Y223,GNE GLCNE IBM2,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)],"TISSUE SPECIFICITY: Highest expression in liver and placenta. Also found in heart, brain, lung, kidney, skeletal muscle and pancreas. Isoform 1 is expressed in heart, brain, kidney, liver, placenta, lung, spleen, pancreas, skeletal muscle and colon. Isoform 2 is expressed mainly in placenta, but also in brain, kidney, liver, lung, pancreas and colon. Isoform 3 is expressed at low level in kidney, liver, placenta and colon. {ECO:0000269|PubMed:10330343, ECO:0000269|PubMed:10431835, ECO:0000269|PubMed:17597614}."
P55263,ADK,"Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase) (N6,N6-dimethyladenosine kinase) (EC 2.7.1.-) (N6-isopentenyladenosine kinase) (EC 2.7.1.-) (N6-methyladenosine kinase) (EC 2.7.1.-)","TISSUE SPECIFICITY: Widely expressed. Highest level in placenta, liver, muscle and kidney. {ECO:0000269|PubMed:9070863}."
P35558,PCK1 PEPCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)","TISSUE SPECIFICITY: Major sites of expression are liver, kidney and adipocytes. {ECO:0000269|PubMed:8490617}."
