uniprot_id,ptm_enzyme,site,ptm_type,score,source
A0A075B6S6,P07947,unknown,Phosphorylation,1.0,Reactome
A0A075B6S6,P08631,unknown,Phosphorylation,1.0,Reactome
A0A075B6S6,P09769,unknown,Phosphorylation,1.0,Reactome
A0A075B6S6,P12931,unknown,Phosphorylation,1.0,Reactome
A0A0A6YYK7,P41240,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P07947,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P08631,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P09769,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P12931,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P07947,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P08631,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P09769,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P12931,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P07947,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P08631,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P09769,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P12931,unknown,Phosphorylation,1.0,Reactome
A0A1B0GVQ0,Q00535,unknown,Phosphorylation,0.2,SIGNOR
A0AVK6,O14757,unknown,Phosphorylation,0.316,SIGNOR
A0AVK6,P22607,Y,Phosphorylation,1.0,UniProt
A0M8Q6,P07947,unknown,Phosphorylation,1.0,Reactome
A0M8Q6,P08631,unknown,Phosphorylation,1.0,Reactome
A0M8Q6,P09769,unknown,Phosphorylation,1.0,Reactome
A0M8Q6,P12931,unknown,Phosphorylation,1.0,Reactome
A1A4S6,Q05397,unknown,Phosphorylation,1.0,Reactome
A1A4S6,Q14289,unknown,Phosphorylation,1.0,Reactome
A1KXE4,P22607,Y,Phosphorylation,1.0,UniProt
A1KXE4,P24941,unknown,Phosphorylation,1.0,PhosphoSitePlus
A1KXE4,Q01974,Y,Phosphorylation,1.0,UniProt
A1X283,P12931,Y508,Phosphorylation,1.0,PhosphoSitePlus;SIGNOR;iPTMnet
A1Z1Q3,Q13315,unknown,Phosphorylation,0.2,SIGNOR
A2NJV5,P07947,unknown,Phosphorylation,1.0,Reactome
A2NJV5,P08631,unknown,Phosphorylation,1.0,Reactome
A2NJV5,P09769,unknown,Phosphorylation,1.0,Reactome
A2NJV5,P12931,unknown,Phosphorylation,1.0,Reactome
A2RUS2,O75385,unknown,Phosphorylation,1.0,Reactome
A4D0Q3,Q01974,Y,Phosphorylation,1.0,UniProt
A4D0S4,Q05397,unknown,Phosphorylation,1.0,Reactome
A4D0S4,Q14289,unknown,Phosphorylation,1.0,Reactome
A5D8V6,Q9UHD2,unknown,Phosphorylation,0.368,SIGNOR
A5D8V7,P22607,Y,Phosphorylation,1.0,UniProt
A6NC98,P08631,Y,Phosphorylation,1.0,UniProt
A6NEM1,P29597,Y,Phosphorylation,1.0,UniProt
A6NGB9,Q05397,unknown,Phosphorylation,1.0,Reactome
A6NI28,Q05397,Y376,Phosphorylation,0.309,SIGNOR
A6NKT7,P06493,unknown,Phosphorylation,1.0,PhosphoSitePlus
A7KAX9,P06241,Y,Phosphorylation,1.0,UniProt
A7MD48,P49759,Y,Phosphorylation,1.0,UniProt
A7MD48,Q9HAZ1,Y,Phosphorylation,1.0,UniProt
A8CG34,P06493,unknown,Phosphorylation,1.0,Reactome
A8CG34,Q8TD19,unknown,Phosphorylation,1.0,Reactome
A8CG34,Q9HC98,unknown,Phosphorylation,1.0,Reactome
A8K0U2,P22607,Y,Phosphorylation,1.0,UniProt
A8K4G0,P06241,unknown,Phosphorylation,1.0,PhosphoSitePlus
A8K8P3,P53350,unknown,Phosphorylation,1.0,Reactome
A8MQ03,P07947,Y,Phosphorylation,1.0,UniProt
A8MQ03,P08631,Y,Phosphorylation,1.0,UniProt
A8MQ03,P29597,Y,Phosphorylation,1.0,UniProt
A8MQ03,Q07912,Y,Phosphorylation,1.0,UniProt
A8MTA8,P06239,Y,Phosphorylation,1.0,UniProt
A8MU46,P17612,unknown,Phosphorylation,1.0,PhosphoSitePlus
A8MYZ6,P31749,unknown,Phosphorylation,0.652,SIGNOR
A8MYZ6,P48729,unknown,Phosphorylation,0.2,SIGNOR
A8MYZ6,Q13627,unknown,Phosphorylation,0.306,SIGNOR
A8T7D5,P16234,Y,Phosphorylation,1.0,UniProt
B2RUY7,Q06418,Y,Phosphorylation,1.0,UniProt
B2RWP4,P49760,Y,Phosphorylation,1.0,UniProt
B2RXF5,P51451,Y,Phosphorylation,1.0,UniProt
B3EWF7,Q13131,unknown,Phosphorylation,1.0,PhosphoSitePlus
B7Z3E8,P22607,Y,Phosphorylation,1.0,UniProt
C0HM02,Q13546,unknown,Phosphorylation,1.0,Reactome
C0HMD6,Q13315,unknown,Phosphorylation,1.0,Reactome
D3DU92,P49760,Y,Phosphorylation,1.0,UniProt
E9PAV3,P17612,unknown,Phosphorylation,1.0,PhosphoSitePlus
