uniprot_id,ptm_enzyme,site,ptm_type,score,source
A0A075B6S6,P07947,unknown,Phosphorylation,1.0,Reactome
A0A075B6S6,P08631,unknown,Phosphorylation,1.0,Reactome
A0A075B6S6,P09769,unknown,Phosphorylation,1.0,Reactome
A0A075B6S6,P12931,unknown,Phosphorylation,1.0,Reactome
A0A0A6YYK7,P41240,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P07947,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P08631,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P09769,unknown,Phosphorylation,1.0,Reactome
A0A0B4J1V7,P12931,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P07947,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P08631,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P09769,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH25,P12931,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P07947,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P08631,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P09769,unknown,Phosphorylation,1.0,Reactome
A0A0C4DH73,P12931,unknown,Phosphorylation,1.0,Reactome
A0A1B0GVQ0,Q00535,unknown,Phosphorylation,0.2,SIGNOR
A0AV96,Q9UQM7,S/T,Phosphorylation,1.0,UniProt
A0AVK6,O14757,unknown,Phosphorylation,0.316,SIGNOR
A0JLT2,P17252,S/T,Phosphorylation,1.0,UniProt
A0JP07,Q8TDX7,S/T,Phosphorylation,1.0,UniProt
A0M8Q6,P07947,unknown,Phosphorylation,1.0,Reactome
A0M8Q6,P08631,unknown,Phosphorylation,1.0,Reactome
A0M8Q6,P09769,unknown,Phosphorylation,1.0,Reactome
A0M8Q6,P12931,unknown,Phosphorylation,1.0,Reactome
A1A4E9,P00540,S/T,Phosphorylation,1.0,UniProt
A1A4S6,Q05397,unknown,Phosphorylation,1.0,Reactome
A1A4S6,Q14289,unknown,Phosphorylation,1.0,Reactome
A1A4S6,Q6P5Z2,S/T,Phosphorylation,1.0,UniProt
A1A580,Q9UQM7,S/T,Phosphorylation,1.0,UniProt
A1A5D9,Q00537,S/T,Phosphorylation,1.0,UniProt
A1JU68,P51812,S/T,Phosphorylation,1.0,UniProt
A1JU68,Q15418,S/T,Phosphorylation,1.0,UniProt
A1JU68,Q16512,S/T,Phosphorylation,1.0,UniProt
A1KXE4,P24941,unknown,Phosphorylation,1.0,PhosphoSitePlus
A1KXE4,Q9UQM7,S/T,Phosphorylation,1.0,UniProt
A1L170,P53350,S/T,Phosphorylation,1.0,UniProt
A1L190,Q16512,S/T,Phosphorylation,1.0,UniProt
A1L4K1,Q07002,S/T,Phosphorylation,1.0,UniProt
A1X283,P12931,unknown,Phosphorylation,1.0,PhosphoSitePlus
A1Z1Q3,Q13315,unknown,Phosphorylation,0.2,SIGNOR
A2A3K4,P28482,S/T,Phosphorylation,1.0,UniProt
A2AGH6,P37173,S/T,Phosphorylation,1.0,UniProt
A2AM67,P11274,S/T,Phosphorylation,1.0,UniProt
A2BDD9,P54646,S/T,Phosphorylation,1.0,UniProt
A2NJV5,P07947,unknown,Phosphorylation,1.0,Reactome
A2NJV5,P08631,unknown,Phosphorylation,1.0,Reactome
A2NJV5,P09769,unknown,Phosphorylation,1.0,Reactome
A2NJV5,P12931,unknown,Phosphorylation,1.0,Reactome
A2RRN7,Q9UQB9,S/T,Phosphorylation,1.0,UniProt
A2RU48,P45984,S/T,Phosphorylation,1.0,UniProt
A2RUH7,Q8TDX7,S/T,Phosphorylation,1.0,UniProt
A2RUS2,O75385,S472;S490,Phosphorylation,1.0,Reactome;SIGNOR;iPTMnet
A2RUS2,Q8IYT8,S472;S490,Phosphorylation,1.0,SIGNOR;iPTMnet
A4D0S4,Q05397,unknown,Phosphorylation,1.0,Reactome
A4D0S4,Q14289,unknown,Phosphorylation,1.0,Reactome
A4D2P6,Q15418,S/T,Phosphorylation,1.0,UniProt
A4U7F2,Q6P0Q8,S/T,Phosphorylation,1.0,UniProt
A5A3E0,O15264,S/T,Phosphorylation,1.0,UniProt
A5D8V6,Q9UHD2,unknown,Phosphorylation,0.368,SIGNOR
A6NC98,Q07002,S/T,Phosphorylation,1.0,UniProt
A6ND36,P36894,S610,Phosphorylation,1.0,SIGNOR;iPTMnet
A6ND36,P48729,S/T,Phosphorylation,1.0,UniProt
A6NEM1,O00506,S/T,Phosphorylation,1.0,UniProt
A6NEM1,P00540,S/T,Phosphorylation,1.0,UniProt
A6NEM1,Q07002,S/T,Phosphorylation,1.0,UniProt
A6NEM1,Q16512,S/T,Phosphorylation,1.0,UniProt
A6NGB9,Q05397,unknown,Phosphorylation,1.0,Reactome
A6NIM6,Q6P0Q8,S/T,Phosphorylation,1.0,UniProt
A6NJ78,Q9HC98,S/T,Phosphorylation,1.0,UniProt
A6NKD9,O00444,S/T,Phosphorylation,1.0,UniProt
A6NKT7,P06493,unknown,Phosphorylation,1.0,PhosphoSitePlus
A6NLX3,Q00526,S/T,Phosphorylation,1.0,UniProt
